country,city,date,rain_sum
GB,London,2022-05-06,0.0
GB,London,2022-05-07,2.3
GB,London,2022-05-08,0.0
GB,London,2022-05-09,0.0
GB,London,2022-05-10,1.5
GB,London,2022-05-11,4.2
GB,London,2022-05-12,0.0
GB,London,2022-05-13,0.0
GB,London,2022-05-14,0.0
GB,London,2022-05-15,24.8
GB,London,2022-05-16,1.7
GB,London,2022-05-17,0.1
GB,London,2022-05-18,19.9
GB,London,2022-05-19,11.2
GB,London,2022-05-20,4.0
GB,London,2022-05-21,0.0
GB,London,2022-05-22,0.0
GB,London,2022-05-23,2.5
GB,London,2022-05-24,4.0
GB,London,2022-05-25,0.2
GB,London,2022-05-26,0.0
GB,London,2022-05-27,0.0
GB,London,2022-05-28,0.1
GB,London,2022-05-29,0.4
GB,London,2022-05-30,1.5
GB,London,2022-05-31,3.4
GB,London,2022-06-01,0.0
GB,London,2022-06-02,0.0
GB,London,2022-06-03,0.2
GB,London,2022-06-04,2.4
GB,London,2022-06-05,5.3
GB,London,2022-06-06,0.3
GB,London,2022-06-07,3.5
GB,London,2022-06-08,29.2
GB,London,2022-06-09,0.4
GB,London,2022-06-10,0.1
GB,London,2022-06-11,0.5
GB,London,2022-06-12,0.0
GB,London,2022-06-13,0.0
GB,London,2022-06-14,0.0
GB,London,2022-06-15,0.0
GB,London,2022-06-16,0.0
GB,London,2022-06-17,0.2
GB,London,2022-06-18,10.2
GB,London,2022-06-19,1.0
GB,London,2022-06-20,0.6
GB,London,2022-06-21,0.0
GB,London,2022-06-22,0.0
GB,London,2022-06-23,0.5
GB,London,2022-06-24,2.8
GB,London,2022-06-25,0.4
GB,London,2022-06-26,0.0
GB,London,2022-06-27,2.0
GB,London,2022-06-28,0.2
GB,London,2022-06-29,1.5
GB,London,2022-06-30,1.6
GB,London,2022-07-01,0.7
GB,London,2022-07-02,0.5
GB,London,2022-07-03,0.0
GB,London,2022-07-04,0.0
GB,London,2022-07-05,0.0
GB,London,2022-07-06,0.0
GB,London,2022-07-07,0.0
GB,London,2022-07-08,0.0
GB,London,2022-07-09,0.0
GB,London,2022-07-10,0.0
GB,London,2022-07-11,0.0
GB,London,2022-07-12,0.0
GB,London,2022-07-13,0.4
GB,London,2022-07-14,0.0
GB,London,2022-07-15,0.0
GB,London,2022-07-16,0.0
GB,London,2022-07-17,0.0
GB,London,2022-07-18,0.0
GB,London,2022-07-19,0.9
GB,London,2022-07-20,1.7
GB,London,2022-07-21,0.8
GB,London,2022-07-22,2.4
GB,London,2022-07-23,0.0
GB,London,2022-07-24,4.1
GB,London,2022-07-25,0.0
GB,London,2022-07-26,0.2
GB,London,2022-07-27,0.1
GB,London,2022-07-28,1.6
GB,London,2022-07-29,0.0
GB,London,2022-07-30,0.0
GB,London,2022-07-31,0.6
GB,London,2022-08-01,0.0
GB,London,2022-08-02,0.2
GB,London,2022-08-03,0.0
GB,London,2022-08-04,0.0
GB,London,2022-08-05,0.0
GB,London,2022-08-06,0.0
GB,London,2022-08-07,0.0
GB,London,2022-08-08,0.0
GB,London,2022-08-09,0.0
GB,London,2022-08-10,0.0
GB,London,2022-08-11,0.0
GB,London,2022-08-12,0.0
GB,London,2022-08-13,0.0
GB,London,2022-08-14,0.0
GB,London,2022-08-15,0.7
GB,London,2022-08-16,3.6
GB,London,2022-08-17,1.1
GB,London,2022-08-18,0.6
GB,London,2022-08-19,0.9
GB,London,2022-08-20,0.0
GB,London,2022-08-21,0.0
GB,London,2022-08-22,2.7
GB,London,2022-08-23,0.5
GB,London,2022-08-24,0.6
GB,London,2022-08-25,17.1
GB,London,2022-08-26,0.0
GB,London,2022-08-27,0.3
GB,London,2022-08-28,0.0
GB,London,2022-08-29,0.1
GB,London,2022-08-30,0.0
GB,London,2022-08-31,0.2
GB,London,2022-09-01,0.7
GB,London,2022-09-02,1.0
GB,London,2022-09-03,1.4
GB,London,2022-09-04,0.4
GB,London,2022-09-05,5.8
GB,London,2022-09-06,7.8
GB,London,2022-09-07,4.7
GB,London,2022-09-08,4.3
GB,London,2022-09-09,1.1
GB,London,2022-09-10,0.8
GB,London,2022-09-11,0.0
GB,London,2022-09-12,1.0
GB,London,2022-09-13,3.9
GB,London,2022-09-14,4.0
GB,London,2022-09-15,0.8
GB,London,2022-09-16,0.1
GB,London,2022-09-17,0.0
GB,London,2022-09-18,0.0
GB,London,2022-09-19,0.3
GB,London,2022-09-20,0.0
GB,London,2022-09-21,0.0
GB,London,2022-09-22,0.0
GB,London,2022-09-23,2.6
GB,London,2022-09-24,0.2
GB,London,2022-09-25,0.0
GB,London,2022-09-26,1.7
GB,London,2022-09-27,2.4
GB,London,2022-09-28,0.1
GB,London,2022-09-29,0.0
GB,London,2022-09-30,5.5
GB,London,2022-10-01,0.1
GB,London,2022-10-02,0.4
GB,London,2022-10-03,0.0
GB,London,2022-10-04,0.3
GB,London,2022-10-05,0.9
GB,London,2022-10-06,0.0
GB,London,2022-10-07,0.5
GB,London,2022-10-08,0.0
GB,London,2022-10-09,0.0
GB,London,2022-10-10,1.5
GB,London,2022-10-11,0.0
GB,London,2022-10-12,2.0
GB,London,2022-10-13,8.6
